file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-X-2010-M-D-B06-6-R-02_0074_552150_to_557892,ཤིང་། འདི། ཁུ་སིམ་སིམ། འདིའི་ནང་འགྲོ་གེ། ག་རེ་ལབ་ཀྱི་འདུག ཁུ་སིམ་བསྡད།  ,shing /_'di/_khu sim sim/_'di'i nang 'gro ge/_ga re lab kyi 'dug_khu sim bsdad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2010-M-D-B06-6-R-02_0074_552150_to_557892.wav,STT_CS,3,72,5.742,wav16k/STT_CS-X-2010-M-D-B06-6-R-02_0074_552150_to_557892.wav,ཤིངའདི། ཁུ་སེམ་སུམ། འདིའི་ནང་འགྲོ་གེ་ག་རེ་ལབ་ཀི་འདུག ཁུ་སིམ་སམ་དེ།
STT_CS-D-2011-M-D-B04-6-R-01_0042_265041_to_268454,ཨ། བདུན། བདུན་པ་དེ་ལ། བདུན་པ་དེ་ལ་ཨེ་འདྲའི་བྱས་རེད་ད་ཡོད་བ།  ,a/_bdun/_bdun pa de la/_bdun pa de la e 'dra'i byas red da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B04-6-R-01_0042_265041_to_268454.wav,STT_CS,3,61,3.413,wav16k/STT_CS-D-2011-M-D-B04-6-R-01_0042_265041_to_268454.wav,འནབདུན་པ་དེ་ལ། བདུན་པ་དེ་ལ་ཨེ་འདྲའི་བྱས་རེད་ད་ཡོད་བ།
STT_NS0210_0087_1470481_to_1473030,ཆང་ས་རྒྱག་བྱེད་དུས་ཨེ་ནས་དེ་ལ་ག་རེ་ཁེ་ཕན་འདུག་ལབ་ན།  ,chang sa rgyag byed dus e nas de la ga re khe phan 'dug lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0210_0087_1470481_to_1473030.wav,STT_NS,3,53,2.549,wav16k/STT_NS0210_0087_1470481_to_1473030.wav,ཆང་ས་རྒྱག་ཡ་བྱེད་དུས་ཡེན་འདི་ལ་ག་རེ་གེ་ཕན་འདུག་ལབ་ན།
STT_NS_M0196_0464_5262688_to_5264789,གལ་སྲིད་ད་ང་ཚོ་འདྲ་བོ་ཡིན་པ་ཡིན་ན་ཨ་ནས།  ,gal srid da nga tsho 'dra bo yin pa yin na a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0196_0464_5262688_to_5264789.wav,STT_NS,3,41,2.101,wav16k/STT_NS_M0196_0464_5262688_to_5264789.wav,གལ་སྲིད་ད་ང་ཚོ་འདྲ་བོ་ཡིན་པ་ཡིན་ན་ཨེ་ནས།
STT_TT00542_0521_3530658_to_3532960,སྙིང་ཁའི་མ་རིག་སྒོ་ངའི་སྦུབས། སྦུབས་འབྱེད་ཤོག། ཟེ།  ,snying kha'i ma rig sgo nga'i sbubs/_sbubs 'byed shog/_ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00542_0521_3530658_to_3532960.wav,STT_TT,3,52,2.302,wav16k/STT_TT00542_0521_3530658_to_3532960.wav,སྙིང་ཁའི་མ་རིག་སྒོ་ལྔའི་སྦུབ། སབུབ་འབྱེད་ཤོག་ཟེ།
STT_TT00638_0078_801586_to_804050,འགྱུར་བ་རྒྱུན་ནས་མ་འགྲོ་ངེ་། རང་བཞིན་རྟག་པ་ལས་འབྱུང་བ་རེད་ཟེར་བ་ཡིན་ཙང་།  ,'gyur ba rgyun nas ma 'gro nge /_rang bzhin rtag pa las 'byung ba red zer ba yin tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00638_0078_801586_to_804050.wav,STT_TT,3,74,2.464,wav16k/STT_TT00638_0078_801586_to_804050.wav,འགྱུར་བ་རྒྱུན་ནས་མ་འགྲོ་ངེ། རང་བཞིན་རྟག་པ་ལས་བྱུང་བ་རེད་ཟེར་ཡིན་ཟང་།
STT_NS_M0185_0026_244189_to_247278,དྲགས་ཡ་གཉིད་སད་སོང་རཱ། ཞོགས་པ་ཆུ་ཚོད་བཞི་པ་དེ་འདྲའི་ལ་ང་གཉིད་སད་སོང་རཱ།  ,drags ya gnyid sad song rA/_zhogs pa chu tshod bzhi pa de 'dra'i la nga gnyid sad song rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0185_0026_244189_to_247278.wav,STT_NS,3,73,3.089,wav16k/STT_NS_M0185_0026_244189_to_247278.wav,དྲག་ཡ་གཉིས་འཚད་སོང་རཱ། ཞོགས་པ་ཆུ་ཚོད་བཞི་བ་དེ་འདྲའི་ལ་ང་གཉིད་འཚད་སོང་ད་རཱ།
STT_TT00515_0005_47195_to_49307,རིམ་གཉིས་ལ་བོགས་འབྱིན་པའི་ཐབས་སྤྱོད་པའོ་ཟེ།  ,rim gnyis la bogs 'byin pa'i thabs spyod pa'o ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00515_0005_47195_to_49307.wav,STT_TT,3,45,2.112,wav16k/STT_TT00515_0005_47195_to_49307.wav,རིམ་གཉིས་ལ་བོགས་འགྱིས་པའི་ཐབས་སྤྱོད་པའོ་ཟེ།
STT_TT00625_0374_2592455_to_2595463,གཞིས་ལུས་རྒྱ་ཆེ་མི་མང་གི་ལྷག་བསམ་སྙིང་སྟོབས།  ,gzhis lus rgya che mi mang gi lhag bsam snying stobs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00625_0374_2592455_to_2595463.wav,STT_TT,3,46,3.008,wav16k/STT_TT00625_0374_2592455_to_2595463.wav,གཞིས་ལུས་རྒྱ་ཆེའི་མི་མང་གི་ལྷག་བསམ། སྙིང་སྟོབས།
STT_TT00248_377.750-379.000,ནང་རྒྱུན་དང་འདྲ་གི་མི་འདུག་བ། ཏོག་ཙི།  ,nang rgyun dang 'dra gi mi 'dug ba/_tog tsi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00248_377.750-379.000.wav,STT_TT,3,39,1.25,wav16k/STT_TT00248_377.750-379.000.wav,ནམ་རྒྱུན་དང་འདྲ་གི་མི་འདུག་གཱ། ཏིག་ཙིག
